Day of the Week,Start Time,End Time,Open Time,Close Time,Price Open,Price Close,Price High,Price Low,Volume Traded,Trade Count
Tuesday,2022-05-31 09:00:00+00:00,2022-05-31T10:00:00.0000000Z,2022-05-31T09:15:31.9260000Z,2022-05-31T09:37:15.1610000Z,0.0001163,0.00011619,0.00011677,0.00011619,235514.9491,4
Tuesday,2022-05-31 10:00:00+00:00,2022-05-31T11:00:00.0000000Z,2022-05-31T10:06:51.0430000Z,2022-05-31T10:34:56.8080000Z,0.00011462,0.00011765,0.00011765,0.00011462,14741982.7537,4
Tuesday,2022-05-31 11:00:00+00:00,2022-05-31T12:00:00.0000000Z,2022-05-31T11:24:12.1520000Z,2022-05-31T11:24:12.1520000Z,0.00011326,0.00011326,0.00011326,0.00011326,1564513.5,1
Tuesday,2022-05-31 12:00:00+00:00,2022-05-31T13:00:00.0000000Z,2022-05-31T12:41:01.7180000Z,2022-05-31T12:57:29.0910000Z,0.00011651,0.00011711,0.00011711,0.00011651,200218.7712,2
Tuesday,2022-05-31 13:00:00+00:00,2022-05-31T14:00:00.0000000Z,2022-05-31T13:18:08.6900000Z,2022-05-31T13:55:41.5210000Z,0.00011611,0.000111,0.00011611,0.000111,8520733.1201,7
Tuesday,2022-05-31 14:00:00+00:00,2022-05-31T15:00:00.0000000Z,2022-05-31T14:08:42.9000000Z,2022-05-31T14:58:12.6670000Z,0.0001102,0.00011221,0.0001128,0.0001102,6529167.1496,3
Tuesday,2022-05-31 15:00:00+00:00,2022-05-31T16:00:00.0000000Z,2022-05-31T15:42:25.5680000Z,2022-05-31T15:42:25.5680000Z,0.00011181,0.00011181,0.00011181,0.00011181,3000000.0,1
Tuesday,2022-05-31 16:00:00+00:00,2022-05-31T17:00:00.0000000Z,2022-05-31T16:02:06.5570000Z,2022-05-31T16:45:43.9820000Z,0.00011182,0.00011251,0.0001173,0.00011182,20346428.9986,7
Tuesday,2022-05-31 17:00:00+00:00,2022-05-31T18:00:00.0000000Z,2022-05-31T17:46:32.9540000Z,2022-05-31T17:46:32.9540000Z,0.00011469,0.00011469,0.00011469,0.00011469,3304993.2343,1
Tuesday,2022-05-31 18:00:00+00:00,2022-05-31T19:00:00.0000000Z,2022-05-31T18:00:55.7720000Z,2022-05-31T18:39:50.3180000Z,0.00011519,0.0001138,0.00011519,0.00011299,27463772.3427,9
Tuesday,2022-05-31 19:00:00+00:00,2022-05-31T20:00:00.0000000Z,2022-05-31T19:04:12.0840000Z,2022-05-31T19:51:38.0490000Z,0.00011094,0.00010899,0.00011141,0.00010899,7776624.4037,6
Tuesday,2022-05-31 21:00:00+00:00,2022-05-31T22:00:00.0000000Z,2022-05-31T21:13:07.1990000Z,2022-05-31T21:46:12.8760000Z,0.00011147,0.00011423,0.00011423,0.00011147,8133374.3146,3
Tuesday,2022-05-31 22:00:00+00:00,2022-05-31T23:00:00.0000000Z,2022-05-31T22:01:21.5670000Z,2022-05-31T22:01:50.7860000Z,0.00011005,0.00011002,0.00011005,0.00010905,51692946.1638,10
Tuesday,2022-05-31 23:00:00+00:00,2022-06-01T00:00:00.0000000Z,2022-05-31T23:04:17.5180000Z,2022-05-31T23:06:34.4920000Z,0.00011353,0.00011391,0.00011391,0.00011353,750187.0,2
Wednesday,2022-06-01 00:00:00+00:00,2022-06-01T01:00:00.0000000Z,2022-06-01T00:45:37.2210000Z,2022-06-01T00:56:10.2530000Z,0.00011934,0.00012305,0.00012305,0.00011934,48997325.4363,22
Wednesday,2022-06-01 01:00:00+00:00,2022-06-01T02:00:00.0000000Z,2022-06-01T01:05:36.1100000Z,2022-06-01T01:50:44.8490000Z,0.00012625,0.00011937,0.00012755,0.00011825,51122796.4426,13
Wednesday,2022-06-01 02:00:00+00:00,2022-06-01T03:00:00.0000000Z,2022-06-01T02:20:40.1770000Z,2022-06-01T02:56:58.8430000Z,0.00011853,0.00011523,0.00011853,0.00011523,11461227.989,4
Wednesday,2022-06-01 03:00:00+00:00,2022-06-01T04:00:00.0000000Z,2022-06-01T03:07:13.4940000Z,2022-06-01T03:07:13.4940000Z,0.00011854,0.00011854,0.00011854,0.00011854,1659486.2533,1
Wednesday,2022-06-01 04:00:00+00:00,2022-06-01T05:00:00.0000000Z,2022-06-01T04:09:55.9280000Z,2022-06-01T04:25:24.2350000Z,0.00011281,0.00011026,0.00011281,0.0001096,42753671.6232,8
Wednesday,2022-06-01 05:00:00+00:00,2022-06-01T06:00:00.0000000Z,2022-06-01T05:05:41.5660000Z,2022-06-01T05:46:16.4100000Z,0.00011194,0.00010616,0.00011194,0.00010275,18162959.9763,10
Wednesday,2022-06-01 06:00:00+00:00,2022-06-01T07:00:00.0000000Z,2022-06-01T06:05:43.7510000Z,2022-06-01T06:40:01.1010000Z,0.00010725,0.00010611,0.00010725,0.00010586,20157596.0856,6
Wednesday,2022-06-01 07:00:00+00:00,2022-06-01T08:00:00.0000000Z,2022-06-01T07:06:47.0270000Z,2022-06-01T07:10:48.9180000Z,0.00010611,0.00010699,0.00010699,0.00010611,4691302.137,3
Wednesday,2022-06-01 08:00:00+00:00,2022-06-01T09:00:00.0000000Z,2022-06-01T08:48:01.9170000Z,2022-06-01T08:48:01.9170000Z,0.00010602,0.00010602,0.00010602,0.00010602,235804.5651,1
Wednesday,2022-06-01 09:00:00+00:00,2022-06-01T10:00:00.0000000Z,2022-06-01T09:40:32.3100000Z,2022-06-01T09:40:32.3100000Z,0.00010782,0.00010782,0.00010782,0.00010782,24624070.4424,1
Wednesday,2022-06-01 10:00:00+00:00,2022-06-01T11:00:00.0000000Z,2022-06-01T10:03:42.8810000Z,2022-06-01T10:10:51.0230000Z,0.00010825,0.00010728,0.00010825,0.00010728,7138649.281,2
Wednesday,2022-06-01 11:00:00+00:00,2022-06-01T12:00:00.0000000Z,2022-06-01T11:31:16.0950000Z,2022-06-01T11:31:16.0950000Z,0.00010481,0.00010481,0.00010481,0.00010481,1000004.9614,2
Wednesday,2022-06-01 14:00:00+00:00,2022-06-01T15:00:00.0000000Z,2022-06-01T14:05:09.3140000Z,2022-06-01T14:54:05.9800000Z,0.0001057,9.965e-05,0.0001057,9.803e-05,97965260.0747,27
Wednesday,2022-06-01 15:00:00+00:00,2022-06-01T16:00:00.0000000Z,2022-06-01T15:27:44.5030000Z,2022-06-01T15:52:50.0340000Z,9.803e-05,9.467e-05,9.803e-05,9.3e-05,10575519.9763,5
Wednesday,2022-06-01 16:00:00+00:00,2022-06-01T17:00:00.0000000Z,2022-06-01T16:01:28.8330000Z,2022-06-01T16:49:01.3030000Z,9.425e-05,9.393e-05,9.425e-05,9.3e-05,10470590.8314,10
Wednesday,2022-06-01 18:00:00+00:00,2022-06-01T19:00:00.0000000Z,2022-06-01T18:35:21.5420000Z,2022-06-01T18:52:20.1410000Z,0.00010131,0.00010075,0.00010247,0.00010075,25672311.7043,9
Wednesday,2022-06-01 19:00:00+00:00,2022-06-01T20:00:00.0000000Z,2022-06-01T19:25:29.7740000Z,2022-06-01T19:37:29.7800000Z,9.827e-05,9.791e-05,9.827e-05,9.791e-05,829588.5121,4
Wednesday,2022-06-01 20:00:00+00:00,2022-06-01T21:00:00.0000000Z,2022-06-01T20:09:09.4520000Z,2022-06-01T20:32:05.9980000Z,9.691e-05,9.3e-05,9.691e-05,9.3e-05,6799149.1235,5
Wednesday,2022-06-01 21:00:00+00:00,2022-06-01T22:00:00.0000000Z,2022-06-01T21:01:38.1570000Z,2022-06-01T21:44:11.2950000Z,9.592e-05,9.597e-05,9.64e-05,9.592e-05,36321448.4929,5
Wednesday,2022-06-01 22:00:00+00:00,2022-06-01T23:00:00.0000000Z,2022-06-01T22:13:10.3290000Z,2022-06-01T22:32:49.3280000Z,9.531e-05,0.0001,0.0001,9.531e-05,6332802.0933,3
Wednesday,2022-06-01 23:00:00+00:00,2022-06-02T00:00:00.0000000Z,2022-06-01T23:01:41.3630000Z,2022-06-01T23:33:25.0540000Z,9.8e-05,0.0001,0.0001,9.8e-05,9741936.0592,5
Thursday,2022-06-02 00:00:00+00:00,2022-06-02T01:00:00.0000000Z,2022-06-02T00:03:17.3890000Z,2022-06-02T00:47:34.0110000Z,9.72e-05,9.646e-05,9.771e-05,9.646e-05,12288175.3842,3
Thursday,2022-06-02 01:00:00+00:00,2022-06-02T02:00:00.0000000Z,2022-06-02T01:13:47.5540000Z,2022-06-02T01:37:58.8660000Z,9.88e-05,9.824e-05,9.88e-05,9.784e-05,7298199.4085,3
Thursday,2022-06-02 02:00:00+00:00,2022-06-02T03:00:00.0000000Z,2022-06-02T02:36:25.6720000Z,2022-06-02T02:57:39.9710000Z,9.89e-05,9.79e-05,9.89e-05,9.79e-05,4899766.9946,2
Thursday,2022-06-02 03:00:00+00:00,2022-06-02T04:00:00.0000000Z,2022-06-02T03:03:32.3540000Z,2022-06-02T03:48:07.5400000Z,9.804e-05,9.5e-05,9.804e-05,9.5e-05,8119079.0815,8
Thursday,2022-06-02 04:00:00+00:00,2022-06-02T05:00:00.0000000Z,2022-06-02T04:07:12.8050000Z,2022-06-02T04:16:29.8750000Z,9.511e-05,9.416e-05,9.54e-05,9.416e-05,10293787.4107,5
Thursday,2022-06-02 05:00:00+00:00,2022-06-02T06:00:00.0000000Z,2022-06-02T05:41:44.0610000Z,2022-06-02T05:41:44.0610000Z,9.6e-05,9.6e-05,9.6e-05,9.6e-05,2454647.9355,1
Thursday,2022-06-02 06:00:00+00:00,2022-06-02T07:00:00.0000000Z,2022-06-02T06:22:28.1200000Z,2022-06-02T06:22:28.1200000Z,9.451e-05,9.451e-05,9.451e-05,9.451e-05,1256993.339,2
Thursday,2022-06-02 07:00:00+00:00,2022-06-02T08:00:00.0000000Z,2022-06-02T07:04:52.3950000Z,2022-06-02T07:05:03.8720000Z,9.912e-05,9.981e-05,9.981e-05,9.912e-05,34405013.8937,4
Thursday,2022-06-02 08:00:00+00:00,2022-06-02T09:00:00.0000000Z,2022-06-02T08:05:58.7010000Z,2022-06-02T08:05:58.7010000Z,9.687e-05,9.687e-05,9.687e-05,9.687e-05,1054849.7986,1
Thursday,2022-06-02 09:00:00+00:00,2022-06-02T10:00:00.0000000Z,2022-06-02T09:06:12.6840000Z,2022-06-02T09:30:12.5110000Z,9.651e-05,9.561e-05,9.651e-05,9.561e-05,18157561.7708,2
Thursday,2022-06-02 10:00:00+00:00,2022-06-02T11:00:00.0000000Z,2022-06-02T10:00:29.5840000Z,2022-06-02T10:00:29.5840000Z,9.741e-05,9.741e-05,9.741e-05,9.741e-05,3136043.3223,1
Thursday,2022-06-02 11:00:00+00:00,2022-06-02T12:00:00.0000000Z,2022-06-02T11:18:26.8330000Z,2022-06-02T11:58:33.6010000Z,9.841e-05,0.00010043,0.00010275,9.841e-05,17273450.4999,9
Thursday,2022-06-02 12:00:00+00:00,2022-06-02T13:00:00.0000000Z,2022-06-02T12:06:18.7800000Z,2022-06-02T12:29:30.1650000Z,0.00010075,9.911e-05,0.000101,9.911e-05,9431182.9639,4
Thursday,2022-06-02 14:00:00+00:00,2022-06-02T15:00:00.0000000Z,2022-06-02T14:33:30.8110000Z,2022-06-02T14:33:52.3850000Z,9.676e-05,9.676e-05,9.676e-05,9.676e-05,1291856.1388,2
Thursday,2022-06-02 15:00:00+00:00,2022-06-02T16:00:00.0000000Z,2022-06-02T15:19:57.6080000Z,2022-06-02T15:55:16.0490000Z,9.801e-05,0.00010203,0.0001032,9.801e-05,34704068.2274,7
Thursday,2022-06-02 16:00:00+00:00,2022-06-02T17:00:00.0000000Z,2022-06-02T16:04:16.7440000Z,2022-06-02T16:43:29.1500000Z,0.00010192,0.00010188,0.00010518,0.00010188,9318691.1979,4
Thursday,2022-06-02 17:00:00+00:00,2022-06-02T18:00:00.0000000Z,2022-06-02T17:02:40.7990000Z,2022-06-02T17:19:59.7160000Z,0.000102,0.000101,0.000102,0.000101,4772878.0216,2
Thursday,2022-06-02 18:00:00+00:00,2022-06-02T19:00:00.0000000Z,2022-06-02T18:10:14.5210000Z,2022-06-02T18:20:03.5780000Z,0.00010023,0.00010132,0.00010132,0.00010014,1039666.8183,3
Thursday,2022-06-02 19:00:00+00:00,2022-06-02T20:00:00.0000000Z,2022-06-02T19:07:15.5060000Z,2022-06-02T19:38:37.0400000Z,9.943e-05,0.0001012,0.0001012,9.943e-05,2767600.2218,4
Thursday,2022-06-02 20:00:00+00:00,2022-06-02T21:00:00.0000000Z,2022-06-02T20:42:52.2890000Z,2022-06-02T20:42:52.2890000Z,0.00010055,0.00010055,0.00010055,0.00010055,119144.7041,1
Thursday,2022-06-02 21:00:00+00:00,2022-06-02T22:00:00.0000000Z,2022-06-02T21:12:23.4320000Z,2022-06-02T21:25:08.4590000Z,0.00010152,0.00010173,0.00010173,0.00010152,1696212.7783,2
Thursday,2022-06-02 22:00:00+00:00,2022-06-02T23:00:00.0000000Z,2022-06-02T22:12:14.3010000Z,2022-06-02T22:12:14.3010000Z,0.0001016,0.0001016,0.0001016,0.0001016,1410139.8771,1
Friday,2022-06-03 00:00:00+00:00,2022-06-03T01:00:00.0000000Z,2022-06-03T00:42:53.3900000Z,2022-06-03T00:42:53.3900000Z,0.000102,0.000102,0.000102,0.000102,2677733.314,1
Friday,2022-06-03 02:00:00+00:00,2022-06-03T03:00:00.0000000Z,2022-06-03T02:16:22.4550000Z,2022-06-03T02:16:22.4550000Z,0.0001016,0.0001016,0.0001016,0.0001016,98420.62,1
Friday,2022-06-03 03:00:00+00:00,2022-06-03T04:00:00.0000000Z,2022-06-03T03:04:24.1250000Z,2022-06-03T03:50:03.1950000Z,0.00010116,0.0001,0.00010116,0.0001,3343000.0,3
Friday,2022-06-03 04:00:00+00:00,2022-06-03T05:00:00.0000000Z,2022-06-03T04:39:27.4460000Z,2022-06-03T04:42:10.4740000Z,9.916e-05,9.971e-05,9.971e-05,9.916e-05,879574.7482,2
Friday,2022-06-03 05:00:00+00:00,2022-06-03T06:00:00.0000000Z,2022-06-03T05:16:45.5030000Z,2022-06-03T05:59:28.8240000Z,0.00010045,0.00010019,0.00010045,0.00010019,313777.6046,2
Friday,2022-06-03 07:00:00+00:00,2022-06-03T08:00:00.0000000Z,2022-06-03T07:08:58.2960000Z,2022-06-03T07:19:30.7930000Z,9.824e-05,9.891e-05,9.891e-05,9.824e-05,1394585.1492,2
Friday,2022-06-03 10:00:00+00:00,2022-06-03T11:00:00.0000000Z,2022-06-03T10:45:17.2970000Z,2022-06-03T10:45:17.2970000Z,9.523e-05,9.523e-05,9.523e-05,9.523e-05,12190341.6705,1
Friday,2022-06-03 12:00:00+00:00,2022-06-03T13:00:00.0000000Z,2022-06-03T12:39:29.1830000Z,2022-06-03T12:39:29.1830000Z,9.471e-05,9.471e-05,9.471e-05,9.471e-05,358411.4,1
Friday,2022-06-03 14:00:00+00:00,2022-06-03T15:00:00.0000000Z,2022-06-03T14:20:45.1300000Z,2022-06-03T14:54:58.0330000Z,9.533e-05,9.54e-05,9.54e-05,9.533e-05,4265653.0519,2
Friday,2022-06-03 16:00:00+00:00,2022-06-03T17:00:00.0000000Z,2022-06-03T16:35:27.1420000Z,2022-06-03T16:51:08.9830000Z,9.477e-05,9.52e-05,9.52e-05,9.472e-05,6755950.0854,3
Friday,2022-06-03 17:00:00+00:00,2022-06-03T18:00:00.0000000Z,2022-06-03T17:20:11.7390000Z,2022-06-03T17:20:11.7390000Z,9.529e-05,9.529e-05,9.529e-05,9.529e-05,14305.379,1
Friday,2022-06-03 19:00:00+00:00,2022-06-03T20:00:00.0000000Z,2022-06-03T19:14:18.0260000Z,2022-06-03T19:51:03.2910000Z,9.529e-05,9.472e-05,9.529e-05,9.472e-05,711150.3963,2
Friday,2022-06-03 21:00:00+00:00,2022-06-03T22:00:00.0000000Z,2022-06-03T21:26:12.7550000Z,2022-06-03T21:55:09.7400000Z,9.482e-05,9.622e-05,9.622e-05,9.482e-05,3581507.2194,2
Friday,2022-06-03 22:00:00+00:00,2022-06-03T23:00:00.0000000Z,2022-06-03T22:55:20.2100000Z,2022-06-03T22:55:20.2100000Z,9.584e-05,9.584e-05,9.584e-05,9.584e-05,3886436.8894,1
Saturday,2022-06-04 00:00:00+00:00,2022-06-04T01:00:00.0000000Z,2022-06-04T00:12:36.3660000Z,2022-06-04T00:32:58.5470000Z,9.574e-05,9.551e-05,9.579e-05,9.535e-05,9924498.1356,4
Saturday,2022-06-04 01:00:00+00:00,2022-06-04T02:00:00.0000000Z,2022-06-04T01:07:55.7200000Z,2022-06-04T01:46:03.7260000Z,9.583e-05,9.445e-05,9.583e-05,9.445e-05,615223.8926,2
Saturday,2022-06-04 02:00:00+00:00,2022-06-04T03:00:00.0000000Z,2022-06-04T02:30:53.9170000Z,2022-06-04T02:51:57.4970000Z,9.273e-05,9.086e-05,9.273e-05,9.086e-05,32999765.6155,4
Saturday,2022-06-04 03:00:00+00:00,2022-06-04T04:00:00.0000000Z,2022-06-04T03:40:06.4790000Z,2022-06-04T03:40:06.4790000Z,9.226e-05,9.226e-05,9.226e-05,9.226e-05,178500.0,1
Saturday,2022-06-04 05:00:00+00:00,2022-06-04T06:00:00.0000000Z,2022-06-04T05:14:00.7790000Z,2022-06-04T05:14:00.7790000Z,9.3e-05,9.3e-05,9.3e-05,9.3e-05,1075268.8172,1
Saturday,2022-06-04 07:00:00+00:00,2022-06-04T08:00:00.0000000Z,2022-06-04T07:08:07.9830000Z,2022-06-04T07:08:07.9830000Z,9.317e-05,9.317e-05,9.317e-05,9.317e-05,32199.2057,1
Saturday,2022-06-04 10:00:00+00:00,2022-06-04T11:00:00.0000000Z,2022-06-04T10:44:20.2640000Z,2022-06-04T10:49:28.8840000Z,9.36e-05,9.396e-05,9.396e-05,9.36e-05,94697.6904,2
Saturday,2022-06-04 13:00:00+00:00,2022-06-04T14:00:00.0000000Z,2022-06-04T13:24:20.5240000Z,2022-06-04T13:24:20.5240000Z,9.254e-05,9.254e-05,9.254e-05,9.254e-05,231399.0959,1
Saturday,2022-06-04 17:00:00+00:00,2022-06-04T18:00:00.0000000Z,2022-06-04T17:09:03.8510000Z,2022-06-04T17:36:04.3720000Z,9.285e-05,9.304e-05,9.304e-05,9.271e-05,10278471.5632,5
Saturday,2022-06-04 18:00:00+00:00,2022-06-04T19:00:00.0000000Z,2022-06-04T18:21:09.6140000Z,2022-06-04T18:21:09.6140000Z,9.304e-05,9.304e-05,9.304e-05,9.304e-05,2045964.8,1
Saturday,2022-06-04 19:00:00+00:00,2022-06-04T20:00:00.0000000Z,2022-06-04T19:31:06.1590000Z,2022-06-04T19:50:24.9880000Z,9.254e-05,9.244e-05,9.254e-05,9.244e-05,3690554.1231,2
Saturday,2022-06-04 20:00:00+00:00,2022-06-04T21:00:00.0000000Z,2022-06-04T20:29:58.1610000Z,2022-06-04T20:29:58.1610000Z,9.229e-05,9.229e-05,9.229e-05,9.229e-05,4255000.0,1
